Group,Frequency_Hz,Amplitude_m_s2
Group 1,2091.29,0.0206
Group 1,2106.64,0.0113
Group 1,2121.09,0.0158
Group 2,2552.57,0.0121
Group 2,2580.92,0.0112
Group 2,2611.1,0.0109
Group 3,2583.31,0.069
Group 3,2598.72,0.0347
Group 3,2614.06,0.0214
Group 3,2629.46,0.014
Group 4,3183.04,0.0102
Group 4,3213.78,0.0144
Group 4,3244.53,0.0231
Group 4,3275.89,0.0123
Group 4,3304.8,0.0139
Group 5,3413.67,0.0166
Group 5,3445.54,0.0114
Group 5,3477.34,0.0115
Group 6,3888.9,0.0107
Group 6,3905.75,0.0135
Group 6,3921.15,0.0126
